,FG,distance,angle,area,ForceX,ForceY,ForceZ,TimeStamp
0,0,,,,16,13,18,0.0015752315521240234
1,0,,,,15,14,17,0.041722774505615234
2,0,,,,18,15,15,0.08333349227905273
3,0,,,,11,14,18,0.12561297416687012
4,0,,,,18,16,12,0.1650853157043457
5,0,,,,18,16,12,0.20605993270874023
6,0,,,,12,15,18,0.24770832061767578
7,0,,,,17,15,17,0.2923886775970459
8,0,,,,11,18,18,0.33609867095947266
9,0,,,,12,16,12,0.3811459541320801
10,0,,,,19,19,16,0.4222393035888672
11,0,,,,17,19,10,0.46713829040527344
12,0,,,,12,16,16,0.5130221843719482
13,0,,,,12,16,16,0.5581562519073486
14,0,,,,17,14,12,0.603114128112793
15,0,,,,17,12,18,0.6441912651062012
16,0,,,,12,19,11,0.6858155727386475
17,0,,,,13,11,12,0.725780725479126
18,0,,,,11,15,14,0.7678952217102051
19,0,,,,11,15,14,0.8109374046325684
20,0,,,,10,15,13,0.8528025150299072
21,0,,,,10,15,18,0.8978374004364014
22,0,,,,18,13,19,0.9417767524719238
23,0,,,,15,19,11,0.9818050861358643
24,0,,,,12,16,13,1.0234854221343994
25,0,,,,19,15,18,1.0662298202514648
26,0,,,,19,15,18,1.107933759689331
27,0,,,,19,10,16,1.148388147354126
28,0,,,,12,15,18,1.192246675491333
29,0,,,,15,18,12,1.2360351085662842
30,0,,,,15,10,14,1.2787294387817383
31,0,,,,17,10,19,1.3188209533691406
32,0,,,,17,10,19,1.3608999252319336
33,0,,,,11,12,12,1.4034130573272705
34,0,,,,18,16,15,1.448840856552124
35,0,,,,19,13,17,1.491584062576294
36,0,,,,18,19,16,1.5341241359710693
37,0,,,,14,16,15,1.5756852626800537
38,0,,,,15,13,13,1.6223664283752441
39,0,,,,13,15,19,1.6687679290771484
40,0,,,,13,15,19,1.7113423347473145
41,0,,,,17,13,11,1.7551848888397217
42,0,,,,12,19,18,1.7968382835388184
43,0,,,,10,18,11,1.8374333381652832
44,0,,,,19,13,15,1.8795828819274902
45,0,,,,10,16,10,1.9242565631866455
46,0,,,,11,12,14,1.9693677425384521
47,0,,,,11,12,14,2.012589693069458
48,0,,,,12,10,14,2.0560524463653564
49,0,,,,13,18,12,2.09706449508667
50,0,,,,16,16,18,2.1386258602142334
51,0,,,,12,17,17,2.1816768646240234
52,0,,,,18,12,13,2.224325656890869
53,0,,,,18,12,13,2.264059543609619
54,0,,,,15,11,19,2.3059751987457275
55,0,,,,12,11,19,2.346839189529419
56,0,,,,10,10,11,2.387605667114258
57,0,,,,18,10,18,2.426778554916382
58,0,,,,18,10,18,2.467670440673828
59,0,,,,18,17,18,2.5073437690734863
60,0,,,,19,10,12,2.5480306148529053
61,0,,,,18,18,19,2.5916247367858887
62,0,,,,11,13,19,2.6313133239746094
63,0,,,,12,16,16,2.674133777618408
64,0,,,,12,16,16,2.7189273834228516
65,0,,,,19,18,14,2.764259099960327
66,0,,,,16,19,11,2.8054418563842773
67,0,,,,14,13,12,2.84684681892395
68,0,,,,17,11,10,2.891270160675049
69,0,,,,10,12,19,2.9331624507904053
70,0,,,,18,17,13,2.974909543991089
71,0,,,,18,17,13,3.017728090286255
72,0,,,,18,17,10,3.0604922771453857
73,0,,,,15,13,17,3.1009042263031006
74,0,,,,11,18,18,3.143115282058716
75,0,,,,19,14,14,3.1873230934143066
76,0,,,,13,13,17,3.2291982173919678
77,0,,,,13,13,17,3.2716121673583984
78,0,,,,18,14,10,3.314683198928833
79,0,,,,14,10,14,3.356689453125
80,0,,,,12,16,17,3.4005284309387207
81,0,,,,12,17,15,3.444315195083618
82,0,,,,18,18,15,3.4870355129241943
83,0,,,,13,16,15,3.528918743133545
84,0,,,,13,16,15,3.570878505706787
85,0,,,,11,17,12,3.615980863571167
86,0,,,,13,16,10,3.6609909534454346
87,0,,,,13,12,14,3.705439329147339
88,0,,,,19,14,19,3.7479419708251953
89,0,,,,11,15,17,3.789811134338379
90,0,,,,18,15,17,3.831655502319336
91,0,,,,18,15,17,3.87302303314209
92,0,,,,11,18,15,3.918704032897949
93,0,,,,15,13,19,3.958770275115967
94,0,,,,16,14,15,3.999398946762085
95,0,,,,19,18,10,4.04309606552124
96,0,,,,10,16,11,4.086201906204224
97,0,,,,18,16,16,4.130637168884277
98,0,,,,18,16,16,4.170773506164551
99,0,,,,14,12,12,4.212028741836548
100,0,,,,12,11,16,4.254165410995483
101,0,,,,17,13,12,4.295835018157959
102,0,,,,15,10,17,4.340805292129517
103,0,,,,17,15,12,4.385954141616821
