,FG,distance,angle,area,ForceX,ForceY,ForceZ,TimeStamp
0,0,,,,17,17,16,0.004599571228027344
1,0,,,,19,19,10,0.044390201568603516
2,0,,,,14,12,10,0.08911848068237305
3,0,,,,12,16,18,0.13261651992797852
4,0,,,,12,16,18,0.17503094673156738
5,0,,,,12,11,16,0.2166907787322998
6,0,,,,19,13,16,0.25630784034729004
7,0,,,,15,11,19,0.2972071170806885
8,0,,,,15,15,18,0.3404238224029541
9,0,,,,12,15,14,0.3829309940338135
10,0,,,,12,15,14,0.4259164333343506
11,0,,,,12,16,11,0.46900296211242676
12,0,,,,15,16,13,0.5101675987243652
13,0,,,,17,19,12,0.5506861209869385
14,0,,,,18,10,17,0.5956134796142578
15,0,,,,10,14,10,0.639075517654419
16,0,,,,14,11,15,0.6853625774383545
17,0,,,,14,11,15,0.7289257049560547
18,0,,,,14,12,13,0.7751669883728027
19,0,,,,11,11,14,0.8207395076751709
20,0,,,,12,10,10,0.8627021312713623
21,0,,,,14,18,10,0.9057698249816895
22,0,,,,17,12,14,0.945913553237915
23,0,,,,18,15,15,0.9877297878265381
24,0,,,,10,18,18,1.0346205234527588
25,0,,,,10,18,18,1.0775423049926758
26,0,,,,13,13,14,1.123152494430542
27,0,,,,17,17,13,1.1689233779907227
28,0,,,,19,12,15,1.214686632156372
29,0,,,,14,19,13,1.257185935974121
30,0,,,,19,19,14,1.3031597137451172
31,0,,,,15,19,14,1.3475048542022705
32,0,,,,17,11,19,1.393134355545044
33,0,,,,13,13,15,1.4390652179718018
34,0,,,,13,13,15,1.4821808338165283
35,0,,,,19,11,12,1.5269474983215332
36,0,,,,10,19,18,1.5685796737670898
37,0,,,,12,17,14,1.6096713542938232
38,0,,,,16,13,19,1.6532337665557861
39,0,,,,12,14,13,1.6968417167663574
40,0,,,,15,11,14,1.7415268421173096
41,0,,,,15,11,14,1.784804344177246
42,0,,,,19,17,11,1.8306021690368652
43,0,,,,15,14,14,1.8746917247772217
44,0,,,,17,14,19,1.9229283332824707
45,0,,,,12,15,11,1.9662764072418213
46,0,,,,16,15,19,2.012270212173462
47,0,,,,10,17,16,2.0563552379608154
48,0,,,,16,13,16,2.0983097553253174
49,0,,,,10,17,14,2.1403415203094482
50,0,,,,10,17,14,2.1839208602905273
51,0,,,,16,15,11,2.2275381088256836
52,0,,,,12,14,11,2.2737700939178467
53,0,,,,12,10,11,2.318788766860962
54,0,,,,19,19,13,2.3616292476654053
55,0,,,,14,14,14,2.4020836353302
56,0,,,,14,15,17,2.44350266456604
57,0,,,,14,15,17,2.4868149757385254
58,0,,,,19,19,14,2.5297107696533203
59,0,,,,17,11,17,2.5746285915374756
60,0,,,,15,17,11,2.619663953781128
61,0,,,,11,11,15,2.6664514541625977
62,0,,,,19,19,12,2.7067010402679443
63,0,,,,12,19,12,2.7498559951782227
64,0,,,,12,19,12,2.790797710418701
65,0,,,,15,13,10,2.8310041427612305
66,0,,,,15,19,13,2.8719780445098877
67,0,,,,15,18,15,2.914475440979004
68,0,,,,10,18,10,2.9586780071258545
69,0,,,,14,11,18,3.0011539459228516
70,0,,,,14,11,18,3.0415568351745605
71,0,,,,11,19,13,3.084580183029175
72,0,,,,18,12,15,3.1298251152038574
73,0,,,,10,11,19,3.17203426361084
74,0,,,,18,10,19,3.2154102325439453
75,0,,,,12,12,15,3.260732412338257
76,0,,,,16,13,11,3.302638530731201
77,0,,,,16,13,11,3.343086004257202
78,0,,,,17,15,19,3.383213520050049
79,0,,,,11,15,18,3.426448106765747
80,0,,,,14,14,15,3.4708425998687744
81,0,,,,11,16,13,3.5127270221710205
82,0,,,,17,17,16,3.5549278259277344
83,0,,,,10,19,14,3.5976314544677734
84,0,,,,10,19,14,3.6407883167266846
85,0,,,,10,17,10,3.6837239265441895
86,0,,,,10,18,12,3.7249155044555664
87,0,,,,12,13,19,3.7685837745666504
88,0,,,,12,12,10,3.809187889099121
89,0,,,,12,12,13,3.8513681888580322
90,0,,,,12,12,13,3.8933658599853516
91,0,,,,11,19,11,3.9378106594085693
92,0,,,,18,17,11,3.978229522705078
93,0,,,,19,19,17,4.021909236907959
94,0,,,,11,19,19,4.064671754837036
95,0,,,,11,13,13,4.109102249145508
96,0,,,,15,16,14,4.152978420257568
97,0,,,,15,16,14,4.195781707763672
98,0,,,,19,10,12,4.238247394561768
99,0,,,,19,11,17,4.280785322189331
100,0,,,,13,18,19,4.3223652839660645
101,0,,,,19,15,14,4.366720914840698
102,0,,,,17,19,15,4.41013240814209
103,0,,,,14,19,19,4.452200889587402
104,0,,,,14,19,19,4.499333620071411
105,0,,,,11,11,12,4.542217254638672
106,0,,,,14,15,19,4.587531566619873
107,0,,,,16,13,19,4.628697872161865
108,0,,,,10,19,14,4.668729543685913
109,0,,,,15,11,14,4.710455656051636
110,0,,,,15,11,14,4.751434803009033
111,0,,,,17,11,18,4.793712615966797
112,0,,,,14,13,13,4.837951183319092
113,0,,,,12,14,14,4.880111455917358
114,0,,,,11,14,14,4.921671152114868
115,0,,,,13,11,10,4.9654481410980225
116,0,,,,12,14,13,5.0082879066467285
117,0,,,,12,14,13,5.050175905227661
118,0,,,,15,12,17,5.09216833114624
119,0,,,,11,18,10,5.133361577987671
120,0,,,,16,13,13,5.17360520362854
121,0,,,,14,11,14,5.218416690826416
122,0,,,,16,15,17,5.261488437652588
123,0,,,,12,15,10,5.30696439743042
124,0,,,,12,15,10,5.351473808288574
125,0,,,,17,13,11,5.393193960189819
126,0,,,,16,19,14,5.4351441860198975
127,0,,,,15,13,18,5.476069211959839
128,0,,,,18,15,19,5.51695990562439
129,0,,,,13,13,18,5.558138608932495
130,0,,,,13,13,18,5.599055528640747
131,0,,,,17,19,14,5.639815330505371
132,0,,,,15,15,11,5.680088520050049
133,0,,,,10,13,11,5.721724271774292
134,0,,,,12,15,12,5.762871265411377
135,0,,,,12,15,12,5.805941581726074
136,0,,,,11,12,10,5.847498178482056
137,0,,,,12,19,17,5.890017986297607
138,0,,,,17,12,15,5.9342546463012695
139,0,,,,19,13,13,5.9789745807647705
140,0,,,,17,15,19,6.019628524780273
141,0,,,,17,17,14,6.061797857284546
142,0,,,,17,17,14,6.104475259780884
143,0,,,,13,10,14,6.143942356109619
144,0,,,,15,17,19,6.187438249588013
145,0,,,,13,12,11,6.229809045791626
146,0,,,,13,12,11,6.2716381549835205
147,0,,,,10,11,14,6.314807176589966
148,0,,,,10,11,14,6.356313943862915
149,0,,,,18,15,10,6.40110182762146
150,0,,,,17,14,14,6.446268320083618
151,0,,,,13,18,11,6.487565755844116
152,0,,,,19,16,10,6.530068874359131
153,0,,,,12,14,13,6.569553375244141
154,0,,,,12,14,13,6.6114912033081055
155,0,,,,19,19,10,6.654133081436157
